"company_name","bloom_field","bloom_postings","total","cum_postings","cum_share","n_companies","company_index","company_share"
"axia consulting","Cloud computing",106,68768,25953,0.410356549924895,4399,93,0.0211411684473744
"experis","Machine Learning AI",106,34632,12268,0.373637083510995,2578,51,0.0197827773467804
"zscaler","Cloud computing",106,68768,26059,0.412032571744802,4399,94,0.0213684928392817
"adobe","Cloud computing",104,68768,26163,0.413676970511503,4399,95,0.0215958172311889
"sonarsource","Cloud computing",104,68768,26267,0.415321369278204,4399,96,0.0218231416230962
"twincap gmbh","Cloud computing",104,68768,26371,0.416965768044905,4399,97,0.0220504660150034
"magic leap - multiple locations","Machine Learning AI",103,34632,12371,0.376774075653286,2578,52,0.0201706749418154
"six","Cloud computing",103,68768,26474,0.418594355285003,4399,98,0.0222777904069107
"avaloq evolution ag","Cloud computing",102,68768,26576,0.420207130998498,4399,99,0.0225051147988179
"darwin recruitment","Machine Learning AI",102,34632,12473,0.379880611561187,2578,53,0.0205585725368503
"workday","Cloud computing",102,68768,26678,0.421819906711993,4399,100,0.0227324391907252
"nigel frank international","Cloud computing",101,68768,26779,0.423416870898885,4399,101,0.0229597635826324
"vangard ag","Cloud computing",101,68768,26880,0.425013835085778,4399,102,0.0231870879745397
"oliver james associates","Cloud computing",99,68768,26979,0.426579176219464,4399,103,0.0234144123664469
"post ch ag","Smart devices",99,24824,6317,0.276056461128349,2641,27,0.0102234002271867
"servicenow","Cloud computing",99,68768,27078,0.42814451735315,4399,104,0.0236417367583542
"smallpdf","Cloud computing",99,68768,27177,0.429709858486837,4399,105,0.0238690611502614
"thermondo gmbh","Smart devices",99,24824,6416,0.280382816938338,2641,28,0.0106020446800454
"tis-jobs.ch","Cloud computing",99,68768,27276,0.431275199620523,4399,106,0.0240963855421687
"unil","Machine Learning AI",99,34632,12572,0.382895778765913,2578,54,0.0209464701318852
"das team","Solar Power",98,7667,1658,0.263886678338373,744,9,0.0120967741935484
"die post","Smart devices",98,24824,6514,0.284665472184591,2641,29,0.0109806891329042
"ef education first","Cloud computing",98,68768,27374,0.432824729227607,4399,107,0.0243237099340759
"klewel, the webcasting company","Cloud computing",98,68768,27472,0.43437425883469,4399,108,0.0245510343259832
"oracle","Machine Learning AI",98,34632,12670,0.385880489736249,2578,55,0.0213343677269201
"spotme","Cloud computing",98,68768,27570,0.435923788441774,4399,109,0.0247783587178904
"swisscom","Machine Learning AI",98,34632,12768,0.388865200706585,2578,56,0.021722265321955
"sygnum","Cloud computing",98,68768,27668,0.437473318048858,4399,110,0.0250056831097977
"das team","Smart devices",97,24824,6611,0.288904426867107,2641,30,0.011359333585763
"gulp","Cloud computing",97,68768,27765,0.439007036129338,4399,111,0.0252330075017049
"benchling","Cloud computing",96,68768,27861,0.440524942683216,4399,112,0.0254603318936122
"consult & pepper","Cloud computing",96,68768,27957,0.442042849237094,4399,113,0.0256876562855194
"honeywell","Cloud computing",96,68768,28053,0.443560755790972,4399,114,0.0259149806774267
"kreis 1 consulting","Cloud computing",96,68768,28149,0.445078662344849,4399,115,0.0261423050693339
"swiss it security ag","Cloud computing",96,68768,28245,0.446596568898727,4399,116,0.0263696294612412
"9t labs ag","3d printing",95,2181,315,0.14957264957265,335,2,0.00597014925373134
"bandao","Cloud computing",95,68768,28340,0.448098663926002,4399,117,0.0265969538531484
"dasteam ag","Solar Power",95,7667,1753,0.279006843864396,744,10,0.0134408602150538
"vf corporation","Smart devices",95,24824,6706,0.293055980422147,2641,31,0.0117379780386217
"addexpert","Cloud computing",94,68768,28434,0.449584947426674,4399,118,0.0268242782450557
"itecor","Cloud computing",94,68768,28528,0.451071230927346,4399,119,0.0270516026369629
"kelly services","Cloud computing",94,68768,28622,0.452557514428018,4399,120,0.0272789270288702
"marco fuhrer","Machine Learning AI",94,34632,12862,0.391728086739356,2578,57,0.0221101629169899
"nordcloud","Cloud computing",94,68768,28716,0.45404379792869,4399,121,0.0275062514207775
"sleepiz ag","Machine Learning AI",94,34632,12956,0.394590972772126,2578,58,0.0224980605120248
"takeda","Machine Learning AI",94,34632,13050,0.397453858804897,2578,59,0.0228859581070597
"takeda","Smart devices",94,24824,6800,0.297163833413451,2641,32,0.0121166224914805
"accenture ag","Machine Learning AI",93,34632,13143,0.400286288603277,2578,60,0.0232738557020946
"accenture ag","Cloud computing",92,68768,28808,0.455498458376156,4399,122,0.0277335758126847
"bornhauser people's management","Cloud computing",92,68768,28900,0.456953118823622,4399,123,0.027960900204592
"acronis","Cloud computing",91,68768,28991,0.458391967744486,4399,124,0.0281882245964992
"connect44","Cloud computing",91,68768,29082,0.459830816665349,4399,125,0.0284155489884065
"epam systems","Machine Learning AI",91,34632,13234,0.403057805932874,2578,61,0.0236617532971296
"institute of machine tools and manufacturing","Virtual Reality",91,4164,1295,0.319990116135409,453,5,0.011037527593819
"isp electro solutions ag","Solar Power",91,7667,1844,0.293490370841955,744,11,0.0147849462365591
"migros","Smart devices",91,24824,6891,0.301140584713543,2641,33,0.0124952669443393
"pwc","Cloud computing",91,68768,29173,0.461269665586212,4399,126,0.0286428733803137
"templeton &amp; partners","Cloud computing",91,68768,29264,0.462708514507076,4399,127,0.028870197772221
"avanade","Cloud computing",90,68768,29354,0.464131551901336,4399,128,0.0290975221641282
"jabil","3d printing",90,2181,405,0.192307692307692,335,3,0.00895522388059702
"switcher labs sa","Smart devices",90,24824,6981,0.305073635449897,2641,34,0.012873911397198
